right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
127,39,176,62,176,62,223,85,45,42,35,74,35,74,70,100,104,113,114,170,114,170,126,223,48,115,38,169,38,169,36,219
176,41,209,71,209,71,224,99,70,42,26,75,26,75,26,108,154,116,167,171,167,171,183,223,81,117,69,173,69,173,65,224
216,40,222,76,222,76,200,105,122,38,57,60,57,60,22,89,206,114,213,171,213,171,225,223,142,113,126,171,126,171,110,226
215,42,203,76,203,76,162,100,148,38,86,51,86,51,33,68,218,115,224,172,224,172,233,224,170,114,152,173,152,173,130,228
215,40,187,70,187,70,125,83,153,35,89,40,89,40,29,46,219,117,225,173,225,173,228,226,174,115,159,173,159,173,131,229
210,42,178,66,178,66,115,67,156,36,90,38,90,38,32,34,219,116,223,174,223,174,223,224,179,113,163,173,163,173,138,228
214,43,183,66,183,66,124,67,150,36,82,37,82,37,23,31,220,117,225,175,225,175,226,228,174,115,158,174,158,174,133,231
217,41,198,69,198,69,137,72,151,38,90,46,90,46,30,43,220,116,227,173,227,173,230,224,171,115,154,173,154,173,133,228
219,44,209,81,209,81,146,88,146,39,90,55,90,55,35,65,213,118,220,173,220,173,229,225,161,115,147,172,147,172,132,227
212,43,231,79,231,79,194,104,131,42,78,64,78,64,32,85,194,118,205,173,205,173,217,223,139,116,130,174,130,174,119,227
175,42,215,70,215,70,234,100,85,45,50,73,50,73,22,103,152,117,164,173,164,173,179,224,93,118,81,173,81,173,76,224
128,41,181,62,181,62,225,85,45,47,25,84,25,84,12,123,98,117,114,174,114,174,134,225,43,118,36,175,36,175,34,225
118,41,159,62,159,62,185,84,49,45,33,79,33,79,15,123,84,117,101,175,101,175,122,227,37,118,35,174,35,174,40,226
117,40,176,54,176,54,226,70,45,48,30,80,30,80,14,104,85,118,96,174,96,174,112,227,38,121,33,175,33,175,37,226
112,41,156,63,156,63,191,80,45,44,30,69,30,69,30,79,81,118,97,175,97,175,115,228,35,119,31,174,31,174,36,225
114,39,157,64,157,64,201,83,39,47,25,77,25,77,35,62,87,116,103,172,103,172,115,226,36,119,28,174,28,174,31,224
135,40,174,69,174,69,217,97,52,44,18,79,18,79,13,120,109,116,122,172,122,172,140,224,54,118,44,173,44,173,38,224
193,42,219,76,219,76,228,105,96,39,41,63,41,63,18,92,170,117,182,173,182,173,200,224,106,116,94,172,94,172,84,226
